RowId,Id,Title,User_id,review_helpfulness,review_score,review_time,review_summary,review_text,description,authors,publisher,publishedDate,categories,ratingsCount
11,0854968350,Muslim Women's Choices: Religious Belief and Social Reality (Cross Cultural Perspectives on Women),A2OP3N8OXCQEZB,06-Aug,5,1121385600,Excellent,"This is an excellent book. It offers the opinions of a diverse sample of real Muslim Women with very different attitudes. It will not appeal to those who don't want to listen or who want an anti-islamic feminist political tract. The value of this is that you hear the opinions, educated and not, of the real people involved.Most of the time, the real voices are ignored and what is presented in the name of feminism is non-muslim american female TV personalities yacking endlessly on about the lives and experiences of people they really don't know and don't want to know.What must be understood above all else is that if you wish to change a society or a culture, you must at the very least understand how the people in that culture who disagree with you think. That is what this book does so well. I may not agree at all with the opinion of every woman in the book, but I at least understand how they think after finishing it.What many will never understand is that Islamic Society has changed and is still changing. But it can only change by consensus from within. No amount of cultural imperialism from western countries is going to change anything for the better.There is also more than a little hypocracy. For all the lectures about the veil from American Women, few of them stop to think about why they are themselves forced into certain choices. A veil isn't great, but its a whole lot more confortable than the pantyhose that many Western women must wear effectively as a condition of employment. One wonders at a certain point if its the veil itself they object to or that as constrasted to their money-driven appearance decisons, the veil has a meaning beyond the secular.","Counters the Western views and stereotypes of Muslim women, by presenting a cross-cultural perspective of their experiences and choices in contemporary Muslim communities. The main theme of these papers is the manner in which Muslim women manipulate religious belief to negotiate their gender roles, within the context of their lives.","['Camillia Fawzi El-Solh', 'Judy Mabro']",Berg Pub Limited,17-02-1994,['Religion'],2
12,0918973031,Dramatica for Screenwriters,A252PRC1XBMTQJ,08-Aug,5,1143763200,Fun to read and easy to understand,"Although written with script authors et al in mind, Dramatica for Screenwriters is the perfect companion book for Dramatica: A New Theory of Story.Using witty and easy to understand examples, the author takes you systematically through the process of turning a meager idea into a full-blown, grand argument story via Dramatica Theory definitions. With a slight mental adjustment, the tips and advice in this book fit the novelist's dilemma as well as the screenwriter's. If you are exploring the world of Dramatica, you need this book on your shelf.","Dramatica for Screenwriters by Armando Saldana Mora is a must for any writer who wishes to get the most out of the Dramatica(r) Pro story development software. Written by a working screenwriter, this book gives real world, practical applications for using Dramatica to develop and write Screenplays. Book topics include: * What Dramatica offers the screenwriter * Dramatica in thirty seconds * Characters: Beyond the archetypes * Character Relationships as subplots * Note and sketch story development * How to get a complete plot * Four Dramatica Acts, Three Classical Acts * Narrative flow & writing the screenplay * And many more...",['Armando Salda A-Mora'],,2005-07,['Reference'],2
13,1858683092,Mensa Number Puzzles (Mensa Word Games for Kids),A1AYN4J7T43M11,04-Apr,3,981417600,Made me wish I was Einstein.,"Not much I can say about this book... It's full of VVVery difficult number puzzles... at least for me. Okay, so I don't get 'A's for my grades at school, but I think that even you might find it a little difficult. The way I see it, you will need lots of paper, patience and time, say 30 minutes or so to solve even the easiest of these.Why? Because basically, you are asked how many combinations can be formed from such and such. Example: How many ways get 31241 by adding prime numbers only? This is not really what the problems are like in the book, they are far more complicated than that.For me, it's just too much. I can't even do 1 single problem. I can't even look up the answers because uses some sort of a legend that I can't understand. But if you have an above average intelligence or are mathematically gifted, you will probably find some obscure short cut to the problem a la Gauss. For the rest, forget it.Word of warning: these are purely number problems. I can't tell if logic will help or even plays a part in this book, but the problems are NUMBER problems.","Acclaimed teacher and puzzler Evelyn B. Christensen has created one hundred brand-new perplexing and adorably illustrated games for young puzzlers. There is something for every type of learner here, including number puzzles, word puzzles, logic puzzles, and visual puzzles. She has also included secret clues the solver can consult if they need a hint, making the puzzles even more flexible for a wide skill range of puzzle-solvers. Arranged from easy to difficult, this is a great book for any beginning puzzler. With the game types intermixed throughout, it’s easy for a child who thinks they like only math or only word puzzles to stumble across a different kind of puzzle, get hooked, and discover—oh, they like that kind, too! Regularly practicing a variety of brain games can help improve and develop memory, concentration, creativity, reasoning, and problem-solving skills. Mensa’s® Fun Puzzle Challenges for Kids is a learning tool everyone will enjoy!",['Evelyn B. Christensen'],Sky Pony,06-11-2018,['Juvenile Nonfiction'],2
14,0792391810,Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),A1CHPTJILEAL74,05-May,5,949536000,The most complete book on vector quantization,"An essential book for researchers and engineers working on vector quantization. It provides a (nearly) exhaustive description of the available VQ methods, with analyses and discussions. The book concentrates on VQ, so don't buy it if you're not interested in that only. Most math tools explained. Could be a little bit outdated on some aspects -&gt; things are moving fast in the field.","Herb Caen, a popular columnist for the San Francisco Chronicle, recently quoted a Voice of America press release as saying that it was reorganizing in order to ""eliminate duplication and redundancy. "" This quote both states a goal of data compression and illustrates its common need: the removal of duplication (or redundancy) can provide a more efficient representation of data and the quoted phrase is itself a candidate for such surgery. Not only can the number of words in the quote be reduced without losing informa tion, but the statement would actually be enhanced by such compression since it will no longer exemplify the wrong that the policy is supposed to correct. Here compression can streamline the phrase and minimize the em barassment while improving the English style. Compression in general is intended to provide efficient representations of data while preserving the essential information contained in the data. This book is devoted to the theory and practice of signal compression, i. e. , data compression applied to signals such as speech, audio, images, and video signals (excluding other data types such as financial data or general purpose computer data). The emphasis is on the conversion of analog waveforms into efficient digital representations and on the compression of digital information into the fewest possible bits. Both operations should yield the highest possible reconstruction fidelity subject to constraints on the bit rate and implementation complexity.","['Allen Gersho', 'Robert M. Gray']",Springer Science & Business Media,06-12-2012,['Technology & Engineering'],2
15,B000879GGE,A husband for Kutani,A2HDZHLMT3L5IO,0/0,5,1141603200,Unique Weird Orientalia from the 1930's,"Exotic tales of the Orient from the 1930's. ""Dr Shen Fu"", a Weird Tales magazine reprint, is about the elixir of life that grants immortality at a price. If you're tired of modern authors who all sound alike, this is the antidote for you. Owen's palette is loaded with splashes of Chinese and Japanese colours. Marvelous.","First published in 1938, this is a collection of four Oriental tales, including ‘Five Merchants Who Met in a Tea-House,’ and ‘Doctor Shen Fu,’ a tale of a Chinese alchemist who possesses the elixir of life. These beautiful and exotic series of Oriental fantasies, set in a China of the imagination, are brought to life by author Frank Owen’s brilliant descriptive passages that embroider his tales.",['Frank Owen'],Pickle Partners Publishing,27-02-2018,['History'],2
16,0908968000,Gold and greenstone,A3Q7EWPN8MK8MS,0/2,5,948585600,&quot;Gold and Greenstone&quot; Barry Crump,A great New Zealand book writen in the true Barry Crump way,"Sally did most things better than men but it was difficult to get a job in a recession. Then she teamed up with an unlikely character and entered a world of hard work, gold-fever and adventure.",['Barry Crump'],,2009,['New Zealand fiction'],2
17,0974289108,"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",A1KZ0RDJZQSY4O,27/29,3,1090368000,No &quot;Insider&quot; Secrets,"If you are someone who is fairly new to the law school admissions process and haven't done much research on what it takes to get into law school, this information might seem very helpful and insightful to you. However, as someone who has read several other books (Richard Montauk's &quot;How To Get Into the Top Law Schools,&quot; Robert Miller's &quot;Law School Confidential&quot; and more) and done the necessary research on the internet, this book brought very little new information to the table. Perhaps the most unique thing about this book is the &quot;15 essential factors&quot;...unfortunately, many of those 15 factors--though essential--are things the average person applying to law school--particularly top law schools--doesn't care about and might cast aside even after reading this book.I do agree with her that many pre-law advisers are ill-prepared to advise pre-law students and don't know nearly as much as they should. However, if the info in this book is the information she provided other pre-law advisers with, then it's nothing that the advisers nor the students couldn't have come up with themselves or elsewhere. I still say Montauk's book is the best on law school admissions out there, regardless of what schools you're interested in. HIS book is the one with all the insider secrets in it. Wright's book is just a very broad overview of the admissions process, in my opinion.The one thing this book totally has in common with Montauk's book that is very disappointing is that they do nothing to help minorities know what the admissons process will truly be like for them or how to handle it. For that, you have to look up books by Evangeline Mitchell. Most books have a tendency to treat everyone the same, as if all the information applies to them the same, and that is deceiving.In conclusion, if you feel pretty well-informed already about admissions or are looking for an extra bit of information that might give you that edge or illuminate your particular situation...this book is not the one for you. Only if you really know very little about law school admissions might this book be worth it...but I'd still say it'd be best to go with Montauk's eye-opening admissions guide.","This collection brings together a distinguished group of researchers to examine the power relations which are played out in university law schools as a result of the different pressures exerted upon them by a range of different 'stakeholders'. From students to governments, from lawyers to universities, a host of institutions and actors believe that law schools should take account of a vast number of (often conflicting) considerations when teaching their students, designing curricula, carrying out research and so on. How do law schools deal with these pressures? What should their response be to the 'stakeholders' who urge them to follow agendas emanating from outside the law school itself? To what extent should some of these agendas play a greater role in the thinking of law schools?",['Fiona Cownie'],Bloomsbury Publishing,28-01-2010,['Law'],2
18,0809080699,"The Repeal of Reticence: A History of America's Cultural and Legal Struggles over Free Speech, Obscenity, Sexual Liberation, and Modern Art",A18YY5TBNSDW3O,29/29,5,899164800,Great treatment of the defeat of reticence by exposure,"Using a quiet, restrained writing style that is a pure pleasure to read, Gurstein chronicles the one-sided battle between the party of exposure and the party of reticence. She is on the side of reticence and writes with the pained nostalgia of a Southerner describing aspects of the War Between the States. Guerstein knows that reticence is a lost cause; she asks only whether it should be.Gurstein makes a quiet case for the reintroduction of taste, judgement, and sensibility into our public lives. This is a common theme these days. What is uncommon is that she derives her &quot;argument&quot; (always presented with the greatest of civility) from the distortion of privacy that somehow led from Brandeis's great legal work on privacy to the transformation of social man to private men and women and eventually to the public dissemination of all sorts of private matters. This is innovative and intriguing.Reticence should emerge from the coordinated behavior of civilized persons; it should not be coerced by legislation and litigation. It is thus especially appropriate that Gurstein never hectors or lectures. Instead, she paints such a delightful alternative portrait of life, far from morning talk radio, nightly real tv, and ever-present commercial messages in nearly all media, that she inspires the reader to aspire toward at least some aspects of reticence.I felt that Gurstein did not define reticence early enough and failed to take advantage of the opportunities to add more detail as the book progressed. I assume that the party of reticence acquired useful knowledge over time, such as after its (happily) failed efforts to prosecute the publisher of Joyce's Ulysses. But these reservations are minor.My most serious concern is whether the domestic party of reticence has foreign (and sometimes not-so-foreign) counterparts in governments that have successfully enforced taste through stern rule of law. I would have appreciated a treatment of these cultural (or anti-cultural) forces. Althoug! h very difficult, such an effort would have greatly sharpened my understanding of the tenets of the party of reticence and its role in our society. Gurstein surely knows that the mere existence of such potential counterparts to her domestic party of reticence may chill further inquiry; after all, she records numerous instances in which the party of exposure has dangled straw men for talismanic protection from true debate. It would be very useful if Gurstein, accounting for the human rights of those oppressed by governmental regimes, could make a better case for the human rights of those increasingly oppressed by the party of exposure, whose methodology of oppression is vastly different. The incremental personal losses to the party of exposure do not lend themselves to the same degree of drama, but possibly, over a sufficiently long period of time, they can present, cumulatively, a meaningful loss of freedom.Henry James wrote that the words, &quot;summer afternoon&quot; were the most pleasant in the English language. Take a summer afternoon (or two) to read this euphonious essay for a refreshing breather from the cacophony of Howard Stern, Don Imus, and their local knock-offs; follow-up news stories on Viagra; Judge Judy; infomercials; network news; and the culture of money, sex, power, and fame hustled by the print and electronic media.","At a time when America's faculties of taste and judgment—along with the sense of the sacred and shameful—have become utterly vacant, Rochelle Gurstein's The Repeal of Reticence delivers an important and troubling warning. Covering landmark developments in America's modern culture and law, she charts the demise of what was dismissively called ""gentility"" in the face of First Amendment triumphs for journalists, sex educators, and novelists—from Margaret Sanger's advocacy of birth control to Judge Woolsey's celebrated defense of Ulysses. Weaving together a study of the legal debates over obscenity and free speech with a cultural study of the critics and writers who framed the issues, Gurstein offers a trenchant reconsideration of the sacred value of privacy.",['Rochelle Gurstein'],Hill and Wang,05-01-2016,['Political Science'],2
19,0553763121,Overcoming Hypertension (Dr. Kenneth H. Cooper's Preventive Medicine Program),A3TQFPF0QGVSJV,02-Feb,5,1352073600,A must read for anyone with blood pressure issues,"Books by Dr Kenneth Cooper have been a tremendous source of guidance for me for over 30 years.When I first started being affected by the stress side effects of working too hard and too long in the 70's I started exercising. At the time jogging/running was becoming quite popular, so I took that up. I like to read so I read the Jim Fixx book on running which led me to Dr Cooper's book ""Aerobics"" (a term he coined), then to ""Aerobics Program for total Well Being..."", which became sort of a bible for a long time. After retirement I quit smoking and started going to a doctor. Found to be out of shape - again - I looked up Dr Cooper and saw his book ""Start Strong, Finish Strong"" which I absorbed like a sponge dropped in a bucket of water. Joined a gym and started the prescription of 55% aerobics, 45% strength and have never felt better. Now I've got one doctor trying to tie me down to hypertension drugs. That diagnosis was contrary to my own readings, so I'm in the middle of a complete cardio workup. (The initial stress test results were great, waiting for the in depth analysis.) When I saw this book it was a gotta have.In this book Dr. Cooper very thoughtfully presents all factors in a very helpful manner with a goal of controlling blood pressure without medications, but points out factors that could make them necessary. After my first reading I feel like I can more intelligently discuss the stress test results with my cardiologist, then better deal with my general physician.I would hardily, strongly recommend this book for any person who has had a too high blood pressure reading.","Like a time bomb ticking away, hypertension builds quietly, gradually, placing unbearable strain on the body until it explodes--in heart attack, stroke, kidney failure, arterial disease, even death. But the disease does not have to progress that way. Here, in the third volume of the highly acclaimed Preventive Medicine Program, Dr. Kenneth H. Cooper, one of the nations foremost experts in the field of preventive medicine, presents a medically sound, reassuringly simple program that help you lower you blood pressure--and keep it down, often without drugs. Overcoming Hypertension gives you: --The latest facts on how cholesterol, cigarette smoking, obesity, and stress affect coronary risk levels. --Your high blood pressure risk profile, with newly devised charts for men and women. --A complete fitness program that lets you choose the sport that works for you. Plus a unique illustrated guide to aqua-aerobics. --Tips on talking to your doctor that will help you become an active participant in your own recovery. --A guide to anti-hypertensive drugs--the most up-to-date list of medications, their recommended daily doses, and ways to minimize side effects. --Three distinct dietary programs, complete with menus, recipes, nutritional charts, healthy cooking tips, and much more. --Take charge of your health and well-being with Overcoming Hypertension.",['Kenneth H. Cooper'],Bantam,01-02-2012,['Health & Fitness'],2
20,B000NKGYMK,Alaska Sourdough,AC58Z72OB2DDX,29/30,5,945734400,True Alaskan cooking,"I have been using this book since 1988, the eighth printing, and I can honestly say it is the best sourdough cookbook I have seen. The recipe's are easy to follow and the history lessons are entertaining as well. Ms. Allman has written a really fun book and I do mean written. The entire book is hand written ! Truly an Alaskan cookbook.","""Sourdough is a magical food"", as author Ruth Allman was fond of saying. There are folks in Alaska who claim the staff of life in their sourdough pots is more than 40 years old or date it to the time when Fairbanks was a mining town. Handwwritten to match the old-timers recipes, this book includes directions for several starters that can ripen in varying times, three days to one year. In this witty and useful last word on sourdough cookery, there are more than 95 recipes, loads of time-tested advice for the novice, and plenty of lore for sourdough fans. In this classic last word on sourdough cookery, there are recipes for Alaskan frontier staples (hotcakes to doughnuts) with time-tested advice and love.",['Ruth Allman'],Alaska Northwest Books,1976,['Cooking'],2
